;;Grand Total;;;;;;;;
UNITUP;LEMBAR;JML_PLG;JML_LBR;RPPTL;RPBPJU;RPPPN;RPMAT;RPLAIN2;RPTAG;RPBK
51700;1;39.364;39.364;4.494.522.131;323.069.260;2.613.710;5.601.000;35.717.959;4.861.524.060;172.000
;2;5.397;10.794;714.654.817;62.369.633;0;708.000;1.741.832;779.474.282;34.802.000
;3;1.457;4.371;245.593.392;23.312.474;0;171.000;647.103;269.723.969;23.710.000
;4;901;3.604;197.255.418;18.470.986;0;102.000;416.904;216.245.308;22.856.000
;5;516;2.580;168.057.535;13.894.236;1.932.210;204.000;102.890;184.190.871;18.601.000
;6;299;1.794;86.738.905;8.117.488;0;9.000;0;94.865.393;13.356.000
;7;242;1.694;336.718.182;6.276.114;0;543.000;37.800;343.575.096;11.067.000
;8;266;2.128;290.522.468;8.440.136;0;396.000;2.965.836;302.324.440;14.620.000
;9;137;1.233;58.795.534;4.792.155;0;48.000;20.904;63.656.593;9.729.000
;10;126;1.260;67.225.140;6.101.865;0;87.000;21.600;73.435.605;10.270.000
;11;85;935;39.347.716;3.845.423;0;45.000;0;43.238.139;7.511.000
;12;72;864;38.545.154;3.729.082;0;42.000;816.600;43.132.836;6.976.000
;13;44;572;23.988.212;2.319.918;0;3.000;21.600;26.332.730;4.620.000
;14;35;490;38.312.270;3.479.978;0;84.000;347.760;42.224.008;4.522.000
;15;39;585;22.939.958;2.047.877;0;21.000;2.097.400;27.106.235;4.961.000
;16;39;624;25.009.121;2.027.900;0;24.000;0;27.061.021;5.148.000
;17;25;425;17.432.404;1.585.195;0;0;0;19.017.599;3.525.000
;18;29;522;19.084.825;1.711.562;0;0;0;20.796.387;4.350.000
;19;19;361;11.301.767;925.171;0;0;0;12.226.938;3.127.000
;20;26;520;29.216.050;2.734.808;168.975;60.000;0;32.179.833;8.400.000
;21;11;231;11.180.628;1.118.098;0;30.000;0;12.328.726;1.947.000
;22;14;308;18.866.361;1.855.832;0;36.000;3.804.870;24.563.063;2.604.000
;23;16;368;15.371.453;1.510.905;0;0;0;16.882.358;3.120.000
;24;8;192;10.725.403;1.072.591;0;0;0;11.797.994;1.632.000
;25;10;250;13.861.810;1.386.242;0;0;0;15.248.052;2.130.000
;26;9;234;12.452.732;1.245.323;0;3.000;0;13.701.055;1.998.000
;27;3;81;2.199.305;219.939;0;0;0;2.419.244;693.000
;28;1;28;4.898.094;489.811;0;0;0;5.387.905;400.000
;29;2;58;2.354.850;193.588;0;0;0;2.548.438;498.000
;30;4;120;10.697.995;1.069.821;0;0;0;11.767.816;1.032.000
;31;5;155;9.180.705;918.100;0;0;0;10.098.805;1.335.000
;32;6;192;8.347.599;834.776;0;12.000;0;9.194.375;1.656.000
;33;1;33;2.495.130;249.523;0;0;0;2.744.653;285.000
;34;5;170;9.022.761;831.581;0;0;0;9.854.342;1.470.000
;35;6;210;14.928.240;1.492.880;0;3.000;59.895;16.484.015;1.818.000
;36;4;144;5.805.111;580.568;0;0;0;6.385.679;1.248.000
;37;4;148;7.089.449;708.975;0;0;0;7.798.424;1.284.000
;38;1;38;2.131.965;213.207;0;0;0;2.345.172;330.000
;39;1;39;1.015.951;101.613;0;0;0;1.117.564;339.000
;40;3;120;4.295.569;429.598;0;0;0;4.725.167;1.044.000
;41;1;41;556.991;55.700;0;0;0;612.691;357.000
;42;1;42;787.075;78.746;0;0;0;865.821;366.000
;44;2;88;4.736.630;473.693;0;0;0;5.210.323;768.000
;45;1;45;9.288.945;928.913;0;6.000;0;10.223.858;393.000
;47;1;47;1.248.861;124.890;0;0;0;1.373.751;411.000
;48;2;96;3.709.945;370.976;0;0;0;4.080.921;840.000
;50;1;50;6.938.925;693.907;0;9.000;0;7.641.832;438.000
;51;1;51;6.394.455;639.453;0;0;0;7.033.908;447.000
;53;3;159;14.546.983;1.454.697;0;48.000;0;16.049.680;1.395.000
;54;2;108;9.400.960;940.125;0;3.000;0;10.344.085;948.000
;55;1;55;999.901;99.979;0;0;0;1.099.880;483.000
;58;1;58;1.403.875;140.471;0;0;0;1.544.346;510.000
;59;1;59;1.456.125;145.629;0;0;0;1.601.754;519.000
;61;3;183;7.017.716;701.786;0;12.000;0;7.731.502;1.897.000
;62;2;124;8.352.495;835.321;0;0;0;9.187.816;1.092.000
;64;1;64;5.149.800;514.974;0;0;0;5.664.774;564.000
;65;1;65;3.723.275;372.322;0;0;558.360;4.653.957;573.000
;66;2;132;3.122.780;312.423;0;0;0;3.435.203;1.164.000
;67;3;201;8.626.970;862.785;0;0;0;9.489.755;1.773.000
;68;1;68;1.563.250;156.436;0;0;0;1.719.686;600.000
;70;1;70;1.187.850;100.091;0;0;0;1.287.941;618.000
;72;1;72;5.047.145;410.281;0;0;0;5.457.426;636.000
;74;5;370;20.481.490;2.048.176;0;0;0;22.529.666;3.270.000
;75;1;75;3.397.685;339.811;0;0;0;3.737.496;663.000
;76;1;76;2.976.375;297.665;0;0;0;3.274.040;672.000
;82;1;82;2.548.620;254.326;0;0;0;2.802.946;726.000
;83;3;249;3.552.604;353.907;0;0;0;3.906.511;2.205.000
;85;1;85;7.916.610;786.073;0;0;0;8.702.683;753.000
;87;1;87;2.118.826;208.764;0;0;0;2.327.590;771.000
;93;1;93;1.392.410;137.517;0;0;0;1.529.927;825.000
;96;1;96;4.759.130;472.450;0;0;0;5.231.580;852.000
;97;1;97;1.933.514;187.370;0;0;0;2.120.884;861.000
;102;1;102;1.130.695;110.989;0;0;0;1.241.684;906.000
;103;1;103;3.948.300;385.923;0;0;0;4.334.223;915.000
;104;1;104;2.260.325;221.241;0;0;0;2.481.566;924.000
;105;3;315;6.813.720;667.248;0;0;0;7.480.968;2.799.000
;107;1;107;1.334.194;129.993;0;0;594.580;2.058.767;951.000
;108;1;108;12.132.720;1.193.754;0;15.000;0;13.341.474;960.000
;117;1;117;1.216.031;117.664;0;0;0;1.333.695;1.041.000
51700 Total;;49.290;81.983;7.277.356.311;534.100.701;4.714.895;8.325.000;49.973.893;7.874.470.800;276.072.000
